date,close,volume,open,high,low
10/10/2025,$456.30,"831,380",$460.42,$462.00,$455.34
10/09/2025,$457.63,"538,093",$462.27,$462.27,$455.34
10/08/2025,$462.26,"804,440",$459.44,$465.45,$458.61
10/07/2025,$458.50,"660,092",$457.65,$459.01,$453.96
10/06/2025,$457.13,"610,392",$454.79,$458.42,$453.05
10/03/2025,$452.90,"583,869",$448.25,$458.91,$447.975
10/02/2025,$448.03,"723,960",$454.21,$454.36,$447.66
10/01/2025,$456.93,"731,662",$454.82,$458.31,$453.16
09/30/2025,$457.29,"708,156",$453.21,$458.01,$453.21
09/29/2025,$454.18,"760,469",$458.75,$459.655,$452.92
09/26/2025,$456.52,"551,661",$457.36,$458.64,$454.43
09/25/2025,$455.73,"776,655",$456.01,$457.8298,$454.3159
09/24/2025,$455.13,"957,580",$468.72,$471.095,$455.00
09/23/2025,$470.72,"1,067,112",$471.36,$474.16,$468.78
09/22/2025,$471.47,"789,976",$476.67,$477.52,$471.46
09/19/2025,$476.21,"1,676,705",$476.67,$478.70,$471.68
09/18/2025,$474.55,"791,435",$477.00,$478.4435,$471.435
09/17/2025,$477.85,"721,083",$477.82,$479.785,$475.78
09/16/2025,$476.84,"1,021,520",$482.00,$484.23,$475.25
09/15/2025,$482.43,"885,274",$479.75,$485.56,$479.75
09/12/2025,$481.71,"793,132",$487.97,$487.97,$481.29
09/11/2025,$490.30,"1,046,639",$481.05,$492.22,$480.28
09/10/2025,$481.70,"701,151",$477.56,$484.09,$476.50
09/09/2025,$477.93,"597,642",$477.10,$478.80,$473.03
09/08/2025,$478.37,"935,224",$477.75,$478.82,$474.17
09/05/2025,$478.98,"631,399",$479.03,$480.185,$475.29
09/04/2025,$478.62,"608,390",$476.65,$478.89,$475.575
09/03/2025,$474.16,"796,324",$477.50,$479.44,$470.26
09/02/2025,$479.00,"1,615,002",$469.96,$479.23,$466.70
08/29/2025,$472.46,"960,951",$470.14,$474.20,$469.08
08/28/2025,$470.10,"972,707",$462.56,$470.54,$462.065
08/27/2025,$464.41,"729,643",$457.15,$466.49,$455.17
08/26/2025,$455.62,"2,148,581",$460.94,$461.00,$451.63
08/25/2025,$460.68,"496,142",$462.80,$464.805,$458.90
08/22/2025,$461.91,"610,670",$464.08,$466.75,$460.82
08/21/2025,$462.43,"789,945",$460.81,$463.36,$457.99
08/20/2025,$462.13,"834,338",$462.00,$463.73,$459.47
08/19/2025,$460.41,"1,140,940",$461.26,$467.86,$459.98
08/18/2025,$461.18,"733,187",$460.24,$462.39,$459.20
08/15/2025,$460.31,"1,274,701",$461.36,$462.31,$457.46
08/14/2025,$461.61,"976,093",$467.32,$468.12,$461.04
08/13/2025,$470.20,"913,651",$471.29,$472.00,$467.775
08/12/2025,$471.20,"1,636,539",$463.00,$474.105,$461.735
08/11/2025,$460.94,"1,539,036",$456.25,$466.24,$454.125
08/08/2025,$453.41,"1,617,481",$451.82,$458.34,$434.64
08/07/2025,$445.10,"1,143,530",$445.00,$446.7375,$440.49
08/06/2025,$442.12,"669,367",$433.65,$442.73,$433.04
08/05/2025,$434.05,"1,205,873",$439.54,$442.795,$433.73
08/04/2025,$439.97,"1,043,667",$436.63,$446.15,$435.845
08/01/2025,$436.71,"1,176,433",$438.53,$440.74,$429.71
07/31/2025,$438.98,"1,440,681",$436.42,$441.72,$436.42
07/30/2025,$436.07,"1,101,580",$433.39,$437.56,$433.00
07/29/2025,$433.95,"814,099",$430.76,$436.27,$427.29
07/28/2025,$429.97,"974,090",$427.09,$430.50,$425.4025
07/25/2025,$428.00,"633,218",$424.87,$428.32,$424.295
07/24/2025,$424.83,"569,593",$423.75,$425.5283,$421.75
07/23/2025,$422.17,"615,760",$420.88,$423.7599,$419.64
07/22/2025,$421.27,"542,563",$421.19,$424.075,$419.27
07/21/2025,$420.91,"642,438",$419.46,$424.75,$417.015
07/18/2025,$420.46,"741,405",$423.21,$424.14,$420.345
07/17/2025,$421.04,"793,619",$415.21,$422.50,$413.865
