date,close,volume,open,high,low
12/08/2023,$139.816,"5,419,155",$137.89,$140.222,$137.712
12/07/2023,$137.536,"3,256,685",$137.12,$137.85,$136.0594
12/06/2023,$137.246,"4,004,780",$138.00,$139.0789,$137.146
12/05/2023,$137.644,"4,574,810",$135.886,$137.927,$135.448
12/04/2023,$137.524,"5,830,375",$136.80,$138.798,$136.142
12/01/2023,$138.158,"7,266,730",$137.09,$138.953,$136.6568
11/30/2023,$137.148,"9,164,995",$136.40,$137.778,$135.764
11/29/2023,$135.786,"7,326,510",$134.20,$136.458,$134.20
11/28/2023,$133.048,"7,603,055",$133.526,$134.52,$132.278
11/27/2023,$134.11,"5,050,005",$134.40,$135.521,$133.914
11/24/2023,$134.78,"2,250,065",$134.106,$134.894,$133.76
11/22/2023,$133.932,"4,441,455",$134.536,$135.606,$133.455
11/21/2023,$133.68,"4,631,850",$132.952,$134.128,$132.302
11/20/2023,$133.384,"5,399,320",$130.80,$133.708,$130.517
11/17/2023,$130.872,"3,964,345",$130.39,$130.936,$129.658
11/16/2023,$130.456,"5,238,290",$130.00,$131.359,$129.606
11/15/2023,$130.18,"6,167,320",$130.894,$131.988,$129.793
11/14/2023,$130.834,"6,756,055",$129.496,$131.368,$129.30
11/13/2023,$127.682,"4,983,375",$126.756,$127.951,$126.45
11/10/2023,$126.952,"5,119,170",$123.952,$127.286,$123.108
11/09/2023,$123.952,"6,076,045",$125.02,$126.498,$123.864
11/08/2023,$125.066,"8,511,680",$123.216,$125.238,$123.20
11/07/2023,$122.782,"8,289,345",$122.075,$125.174,$122.075
11/06/2023,$121.85,"4,424,615",$121.70,$122.196,$120.49
11/03/2023,$121.352,"7,392,120",$120.116,$122.358,$118.496
11/02/2023,$119.886,"8,791,940",$120.242,$122.174,$119.68
11/01/2023,$118.696,"8,847,110",$116.20,$119.018,$116.088
10/31/2023,$116.37,"8,077,420",$114.174,$116.968,$112.98
10/30/2023,$113.708,"7,240,815",$111.92,$114.434,$111.618
10/27/2023,$110.802,"8,778,835",$111.292,$112.80,$109.688
10/26/2023,$110.19,"17,739,765",$112.00,$115.80,$109.772
10/25/2023,$106.034,"10,044,520",$109.874,$110.42,$105.448
