date,close,volume,open,high,low
01/13/2025,$349.14,"2,711,293",$345.13,$350.91,$344.37
01/10/2025,$349.79,"2,830,056",$355.03,$358.00,$348.74
01/08/2025,$357.73,"2,217,337",$361.00,$363.5975,$355.345
01/07/2025,$356.39,"4,663,137",$355.35,$363.22,$353.81
01/06/2025,$351.33,"2,356,428",$352.81,$354.49,$349.65
01/03/2025,$353.85,"2,029,853",$350.00,$354.82,$349.09
01/02/2025,$348.82,"2,255,167",$353.10,$354.81,$346.11
12/31/2024,$351.79,"1,748,650",$354.98,$355.08,$350.4318
12/30/2024,$352.49,"1,490,172",$352.61,$354.63,$349.2301
12/27/2024,$356.18,"1,195,720",$358.78,$360.43,$354.00
12/26/2024,$360.43,"910,457",$360.35,$361.95,$359.07
12/24/2024,$361.63,"1,075,396",$359.95,$361.95,$358.54
12/23/2024,$358.77,"3,549,390",$360.58,$362.96,$355.73
12/20/2024,$366.37,"7,013,200",$370.70,$372.07,$362.00
12/19/2024,$372.16,"6,075,459",$365.00,$376.91,$363.1934
12/18/2024,$347.61,"3,232,909",$357.30,$359.40,$347.12
12/17/2024,$357.30,"2,479,098",$357.36,$358.4799,$353.02
12/16/2024,$357.06,"2,306,717",$359.55,$361.02,$356.45
12/13/2024,$358.68,"1,808,745",$359.58,$360.7626,$356.25
12/12/2024,$360.18,"1,834,173",$361.31,$362.00,$355.40
12/11/2024,$363.84,"1,541,560",$363.85,$366.59,$363.43
12/10/2024,$362.90,"2,157,906",$358.52,$366.35,$357.0897
12/09/2024,$359.50,"2,185,184",$360.45,$366.00,$358.10
12/06/2024,$362.70,"2,332,307",$365.30,$371.88,$361.55
12/05/2024,$358.13,"1,821,291",$356.07,$358.90,$354.89
12/04/2024,$360.03,"2,074,025",$353.67,$362.11,$353.105
12/03/2024,$352.54,"3,044,981",$348.80,$354.335,$346.62
12/02/2024,$361.38,"2,445,661",$362.77,$363.36,$356.96
11/29/2024,$362.37,"1,311,278",$360.15,$365.00,$360.00
11/27/2024,$362.16,"1,657,040",$364.08,$365.67,$360.88
11/26/2024,$363.18,"2,106,328",$361.99,$364.53,$360.62
11/25/2024,$361.29,"3,054,821",$360.00,$364.15,$358.50
11/22/2024,$358.66,"2,211,127",$358.24,$364.64,$357.28
11/21/2024,$361.05,"2,240,117",$359.52,$363.50,$358.31
11/20/2024,$357.07,"1,792,718",$353.71,$357.33,$351.65
11/19/2024,$353.95,"2,447,247",$351.25,$353.97,$349.99
11/18/2024,$352.79,"1,760,084",$353.57,$355.4999,$351.82
11/15/2024,$353.57,"3,624,539",$360.28,$360.31,$348.85
11/14/2024,$362.07,"3,503,239",$371.38,$372.00,$361.025
11/13/2024,$370.22,"3,353,988",$359.54,$370.64,$359.04
11/12/2024,$360.61,"3,233,662",$357.64,$362.13,$356.95
11/11/2024,$357.30,"2,985,383",$355.00,$360.64,$354.10
11/08/2024,$355.53,"2,289,531",$360.77,$362.76,$355.12
11/07/2024,$360.71,"2,250,537",$358.00,$362.00,$356.29
11/06/2024,$356.13,"3,009,729",$355.90,$357.23,$353.00
11/05/2024,$345.49,"1,554,297",$342.79,$347.4199,$342.21
11/04/2024,$343.90,"1,931,315",$345.26,$346.6751,$341.58
11/01/2024,$345.67,"2,579,809",$346.94,$347.9499,$344.83
