date,close,volume,open,high,low
12/08/2025,$242.98,"1,751,424",$245.32,$245.77,$242.625
12/05/2025,$247.26,"1,407,630",$246.82,$250.285,$246.51
12/04/2025,$245.47,"1,706,668",$248.60,$248.859,$244.905
12/03/2025,$243.82,"1,527,365",$241.08,$244.21,$240.39
12/02/2025,$241.72,"1,626,116",$241.34,$243.02,$240.94
12/01/2025,$242.08,"1,352,648",$241.545,$244.10,$241.16
11/28/2025,$241.75,"628,739",$240.34,$242.75,$239.95
11/26/2025,$240.02,"1,512,249",$238.60,$240.94,$237.685
11/25/2025,$237.86,"2,031,422",$235.72,$238.54,$234.08
11/24/2025,$238.29,"1,856,469",$239.33,$239.5575,$237.13
11/21/2025,$236.70,"1,763,457",$237.50,$238.90,$234.75
11/20/2025,$233.94,"2,092,180",$240.655,$241.1033,$233.51
11/19/2025,$237.97,"1,183,742",$239.59,$240.045,$236.64
11/18/2025,$237.99,"1,399,661",$238.55,$240.44,$236.31
11/17/2025,$238.90,"2,410,396",$242.65,$242.81,$237.25
11/14/2025,$245.03,"2,523,066",$243.63,$247.26,$243.08
11/13/2025,$251.86,"832,201",$253.40,$254.63,$251.81
11/12/2025,$253.34,"1,170,307",$253.18,$255.20,$252.29
11/11/2025,$254.38,"940,665",$252.11,$254.61,$251.27
11/10/2025,$251.76,"1,028,056",$251.53,$251.8315,$249.44
11/07/2025,$251.96,"1,128,040",$250.21,$251.97,$249.02
11/06/2025,$253.88,"1,290,806",$257.85,$258.50,$250.985
11/05/2025,$261.06,"983,620",$259.46,$264.10,$259.23
11/04/2025,$259.64,"1,327,604",$258.68,$260.355,$258.32
11/03/2025,$263.96,"1,172,151",$264.02,$265.88,$261.85
10/31/2025,$260.01,"1,972,153",$259.04,$260.97,$258.14
10/30/2025,$259.19,"1,445,465",$259.06,$263.27,$258.88
10/29/2025,$259.64,"2,019,795",$264.62,$264.725,$258.93
10/28/2025,$270.06,"1,463,705",$271.91,$273.40,$270.04
10/27/2025,$272.16,"1,971,187",$272.50,$274.15,$271.205
10/24/2025,$269.55,"2,207,777",$276.53,$276.54,$268.90
10/23/2025,$278.53,"2,367,444",$269.92,$281.365,$269.92
10/22/2025,$276.22,"3,154,125",$277.08,$278.85,$273.95
10/21/2025,$280.46,"2,020,615",$276.59,$280.81,$276.04
10/20/2025,$277.91,"1,464,918",$274.94,$279.3799,$274.94
10/17/2025,$272.90,"1,186,750",$267.94,$273.025,$267.61
10/16/2025,$269.74,"1,247,633",$274.08,$276.26,$268.855
